Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:30.883261,6,"[1, 2, 3, 4, 5, 6]",1.0
1,verbal,A,0:00:39.564116,6,"[1, 2, 3, 4, 5, 6]",1.0
2,verbal,B,0:00:58.723962,7,"[1, 2, 3, 4, 5, 6]",1.0
3,verbal,C,0:00:39.895526,6,"[1, 2, 3, 4, 5, 6]",1.0
4,verbal,D,0:00:48.712708,6,"[1, 2, 6, 3, 4, 5]",0.6
5,spatial,A,0:00:31.496239,6,"[1, 2, 3, 4, 5, 6]",1.0
6,spatial,B,0:00:40.120445,7,"[1, 2, 3, 4, 5, 6]",1.0
7,spatial,C,0:00:27.139308,6,"[1, 2, 3, 4, 5, 6]",1.0
8,cartoon,A,0:01:17.183465,6,"[1, 2, 3, 4, 5, 6]",1.0
9,cartoon,B,0:00:39.316899,6,"[1, 2, 3, 4, 5, 6]",1.0
10,cartoon,C,0:01:09.292918,12,"[1, 2, 3, 4, 5, 6]",1.0
11,cartoon,D,0:01:06.402970,6,"[1, 2, 3, 4, 5, 6]",1.0
