Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:08.031711,6,"[3, 5, 1, 6, 4, 2]",0.0
1,verbal,A,0:00:07.957286,6,"[6, 4, 2, 5, 3, 1]",0.0
2,verbal,B,0:00:07.956596,6,"[5, 3, 6, 1, 4, 2]",0.0
3,verbal,C,0:00:10.668603,6,"[3, 5, 2, 4, 1, 6]",0.0
4,spatial,A,0:00:09.242608,6,"[3, 6, 4, 2, 5, 1]",0.0
5,spatial,B,0:00:09.220671,6,"[6, 4, 1, 3, 5, 2]",0.0
6,spatial,C,0:00:09.184100,6,"[2, 4, 1, 5, 3, 6]",0.0
7,cartoon,B,0:00:09.136215,6,"[4, 1, 6, 3, 5, 2]",0.0
8,cartoon,C,0:00:10.801069,6,"[1, 4, 6, 3, 5, 2]",0.0
9,cartoon,D,0:00:24.981157,10,"[1, 2, 3, 4, 5, 6]",1.0
